ASL-LEX_add_translation
ASL-LEX_add_translation,,,
Entry,Gloss,Definition,Comment
L_balance,balance,"balance, balanced, equal, equilibrium, even, unequal, uneven, BALANCEbb",
L_bald,bald,"bald, bare, bareheaded",
L_ball,ball,ball,
L_balloon,balloon,"balloon, blow up, inflate",
L_banana,banana,"banana, fruit",more common
L_banana_2,banana,"banana, fruit",
L_banana_3,banana,banana,
L_banana_4,banana,banana,
L_band_aid_1,band_aid,band_aid,
L_band_aid_2,band_aid,"band-aid, bandaid, bandage",
L_bandage,bandage,"bandage, gauze, covering, wrap",
L_bank,bank,"bank, a financial institution licensed to accept deposits, pay interest, clear checks, make loans, etc",ref_handspeak
L_bar,bar,"alcohol, bar, booze, drink, pub",
L_barely,barely,"barely, close call, narrowly",
L_bark_1,bark,"bark, dog, growl, snarl, woof","more common, no signs represent bark as The tough, protective outer sheath of the trunk, branches, and twigs of a tree or woody shrub (ref_handspeak)"
L_bark_2,bark,bark,
L_bark_3,bark,bark,
L_barrette,barrette,barrette,
L_baseball,baseball,"at the plate, baseball, baseball bat, bat, batter, hitter, softball, sports, up to bat",
L_baseball_cap,baseball_cap,"ball cap, cap, clothes, clothing, hat, hat brim",
L_basement,basement,"basement, below, below ground, cellar, underground",
L_basic,basic,"base, basic, basically, simple",
L_basket_1,basket,basket,"same sign for bag_2, maybe for waste basket"
L_basket_2,basket,"basket, a container used to hold or carry things","ref_handspeak, more common"
L_basketball,basketball,"basketball, hoops, sports",
L_basketball_2,basketball,basketball,
L_basketball_3,basketball,"basketball, hoops, sports",
L_bat_1,bat,"animal, bat",
L_bat_2,bat,"at the plate, baseball, baseball bat, bat, batter, hitter, softball, sports, up to bat",ref_signbank
L_bat_3,bat,"hit, hit stick, knock, strike, swing",
L_bath,bath,"bath, bathe, wash",
L_bathroom,bathroom,"bathroom, pee, restroom, toilet",
L_bathtub,bathtub,bathtub,
L_battery,battery,"battery, electric, electrical, electricity, to charge, sneakers, rubber",
L_beach,beach,"beach, ocean, sand, shore",
L_beak,beak,beak,
L_beanie,beanie,"hat, knitted cap, brimless hat, winter hat",
L_beans,beans,beans,
L_bear,bear,"animal, bear, grizzly bear, panda bear, polar bear, ursine",
L_beard,beard,"beard, facial hair, hair",
L_beat,beat,"beat, compete, competition, overcome, sports, to defeat, trounce, win",
L_beaver,beaver,beaver,
L_because,because,"as a result of, because, cause, reason, since, why",
L_become,become,"be, become, change, change into, convert, transform, turn into",
L_bed,bed,"asleep, bed, go to sleep, sleep",
L_bed_2,bed,"asleep, bed, go to sleep, sleep",
L_bedroom,bedroom,"bed, bedroom, room",
L_bee_1,bee,"bee, bug, bumblebee, honeybee, insect, sting",
L_bee_2,bee,"bee, bug, bumblebee, honeybee, insect, sting",
L_beer,beer,"alcohol, beer, beverage, brew, drink",
L_before,before,"before, behind, preceding, precedent, previous, prior",
L_beg,beg,"beg, plead",
L_behavior,behavior,"action, acts like, behave, behavior, conduct",
L_behind,behind,"back of, backup, behind, in the back, posterior",
L_believe,believe,"belief, believe, believeix",
L_believe_2,believe,"belief, believe, believeb, position, thinking, view",
L_bell,bell,bell,
L_belt,belt,"belt, beltband, strap",
L_belt_2,belt,"belt, belt band",
L_bend,bend,bend,
L_benefit,benefit,"advantage, benefit, benefits, credit, gain, point(s), profit",
L_berry,berry,"berry, cherry, fruit",
L_best,best,"best, better, comparative",
L_bet,bet,"bet, gamble, guess, to think",
L_better,better,"best, better, comparative",
L_between,between,"average, between, in the middle",
L_bib,bib,bib,
L_bicycle,bicycle,"bicycle, bike, pedal, ride a bike",
L_big,big,"big, enormous, huge, large",
L_bind,bind,"tie, tie game, tied up, turn, twist",
L_binoculars,binoculars,"binoculars, BINOCULARSc",
L_biology,biology,"biological, biology, science",
L_bird,bird,"animal, bird, chicken, food",
L_birth,birth,"baby, birth, birthday, born",
L_birthday,birthday,birthday,
L_bison,bison,bison,
L_bite_1,bite,"bite, chomp",bite_1 and bite_2 are the same sign
L_bite_2,bite,bite,
L_bite_on_arm,bite_on_arm,bite_on_arm,
L_bite_on_neck,bite_on_neck,bite_on_neck,
L_black,black,"black, color",
L_blackbird,blackbird,blackbird,
L_blame,blame,"accuse, blame, fault",
L_blank,blank,"bare, blank, clear, depleted, empty",
L_blanket,blanket,"blanket, cover, cover up, covering",
L_bleed,bleed,"bleed, blood, bloody, bleeding",
L_bless,bless,"bless, bless you, blessing",
L_blind,blind,"blind, unable to see, sightless",ref_handspeak
L_blinds_1,blinds,"blinds, curtains, shades, window",
L_blinds_2,blinds,"blinds, curtains, shades, window",
L_blink,blink,blink,
L_blond,blond,"blond, blonde, blonde hair, yellow hair",
L_blood,blood,"bleed, blood, bloody, bleeding",
L_bloom,bloom,bloom,
L_blouse,blouse,"blouse, clothing, garment, shirt",
L_blow,blow,"blow, blow out, exhale, puff, spit, spray",
L_blow_candle_1,blow_candle,blow_candle,
L_blow_candle_2,blow_candle,blow_candle,
L_blow_mind,blow_mind,"astonished, blow mind, blow-mind, bowled over, flabbergasted, flummoxed, mind blown, mind-blowing, mind blowing, shocked, stunned, surprised, thunderstruck",
L_blue,blue,"blue, color",
L_blur,blur,"ambiguous, blurred, blurry, cover up, fuzzy, hazy, not clear, opaque, unclear, vague",
L_blush,blush,"blushing, embarrassed, flushed, to blush",
L_board,board,"board, board of trustees, committee, group, group of people",
L_boat,boat,"boat, cruise, sail, ship",
L_body,body,"body, body part, health, human, person, physical, torso",
L_boil_1,boil,boil,more common
L_boil_2,boil,boil,
L_boiling_mad,boiling_mad,"angry, boiling-mad, fire, fuming, furious, mad, pissed off",
L_bolt,bolt,"bolt, tool",
L_bomb,bomb,"bomb, explode, explosion",
L_bone,bone,"bone, bones, poison, poisonous, skeleton, skull and crossbones",
L_book,book,"book, books, read, textbook",
L_boots,boots,"boot, boots, shoes, footwear, footwear that covers the whole foot and lower leg",ref_handspeak
L_boots_2,boots,"boot, boots, footwear, shoes, long boots, LONG-BOOTS",ref_signbank
L_bored,bored,"bore, bored, boredom, boring, dull",more common
L_bored_2,bored,bored,
L_borrow,borrow,"borrow, give, loan from, take from",
L_boss,boss,"boss, captain, chair, coach",
L_boston,boston,"Boston, city, place",
L_both,both,"bi-, both, dual, pronoun, two",
L_bother,bother,"annoy, annoying, bother, disrupt, disturb, interrupt, irritate",
L_bottle,bottle,"bottle, container",
L_bottom,bottom,"below, bottom, lower",
L_bounce,bounce,bounce,
L_bow_1,bow,bow,"not found, the gesture is similar to bowtie"
L_bow_2,bow,"archery, bow, bow and arrow",
L_bow_3,bow,"bow, bow down","not found, ref_signasl"
L_bow_4,bow,"bow, the gesture, to take a bow, bend one's back forward from the waist on down","ref_signingsavvy, ref_signasl"
L_bowl,bowl,"bowl, container",
L_bowling,bowling,"bowling, sport, to bowl",
L_bowling_2,bowling,"bowling, sport, to bowl",same meaning
L_bowtie,bowtie,"bow, bow tie",
L_box,box,"box, container, package, present",
L_boxing,boxing,"boxing, the sport or practice of fighting with the fists, especially with padded gloves in a roped square ring according to prescribed rules",ref_handspeak
L_boy,boy,"boy, dude, gentleman, guy, male, man, men",
L_boyfriend,boyfriend,"boyfriend, sweetheart",
L_bra,bra,"bra, brassiere, bikini, bathing suit",more common
L_bra_2,bra,bra,
L_bra_3,bra,bra,
L_bracelet,bracelet,"band, bracelet, strap, watch, wristband",
L_brag,brag,"arrogant, brag, braggart, boast, pompous, show off",
L_braids,braids,braids,
L_braille,braille,braille,
L_brainstorm,brainstorm,"brainstorm, contribute, ideas, think of, to throw in",
L_brainwash,brainwash,brainwash,
L_brave,brave,"bold, brave, confidence, confident, courage, courageous, heal, health, healthy, recover",
L_bread,bread,"bread, food",
L_break,break,"break, broken, violate",
L_break_down,break_down,"collapse, crash, crumble, deconstruction, fall down, tear down, breakdown",
L_breakdown,breakdown,"collapse, crash, crumble, deconstruction, fall down, tear down, breakdown",
L_breakfast_2,breakfast,"breakfast, food, meal","breakfast_1 is missing, breakfast_1 is more common"
L_breaktime,breaktime,"break, breaktime, halftime, intermission, pause, recess, time for a break",
L_breathe,breathe,"breath, breathe, breathing, chest, exhale, inhale, sigh",
L_brick,brick,"block, brick",
L_bridesmaid,bridesmaid,"bouquet, bridesmaid, flowers, wedding",
L_bridge,bridge,bridge,more common
L_bridge_2,bridge,bridge,
L_bright,bright,"bright, radiating light",ref_handspeak
L_bring,bring,"bring, carry, deliver, delivery",
L_brother,brother,"brother, male sibling, BROTHERal",
L_brown,brown,"brown, color",
L_brush,brush,"brush, brush-hair, comb, hairbrush, to brush, to brush hair",
L_bubbles,bubbles,"balloon, blow up, inflate",
L_buckle_1,buckle,buckle,
L_buckle_2,buckle,buckle,
L_budget,budget,budget,
L_buffalo,buffalo,"animal, bison, buffalo, buffalo sauce, bull, cow, mammal",
L_bug,bug,"bug, insect, pest",
L_building,building,"build, building, construct, construction, structure",
L_bull,bull,bull,
L_bulldozer,bulldozer,bulldozer,
L_bumpy,bumpy,bumpy,
L_bun,bun,bun,
L_burn_1,burn,"boil, burn, burst into flames, fire, flame",
L_burp,burp,"burp, BURPb, indigestion",
L_bury,bury,"bury, cemetery, grave, put something or a corpse in the ground or a vault, or into the sea, often with ceremony","ref_hanspeak, more common"
L_bury_1,bury,"bury, put a human corpse in the ground",ref_hanspeak
L_bury_2,bury,bury,
L_bury_3,bury,bury,
L_bus,bus,bus,
L_business,business,"business, busy",
L_busted,busted,"busted, caught, pregnant, to be in trouble",
L_busy,busy,"business, busy",
L_but,but,"although, but, however",
L_butter,butter,"butter, dairy, food",
L_butterfly,butterfly,"bug, butterfly, insect",
L_buttons,buttons,"button, shirt button",
L_buy,buy,"buy, purchase, shopping, to shop",
L_bye,bye,"bye, bye-bye, goodbye, hello, hey, salutation, wave",
L_cabbage,cabbage,"garbage, lettuce, trash",
L_cabinet,cabinet,"cabinet, closet, cupboard, storage",
L_cafeteria,cafeteria,"cafeteria, food, food service",
L_cake,cake,"cake, dessert",
L_calculator,calculator,calculator,
L_calendar,calendar,"calendar, chart, diagram, graph, graphic, layout, schedule, spreadsheet, table, waffle",
L_california,california,"California, gold, place, state",
L_call,call,"call, phone, telephone, to use the phone",
L_call_2,call,"be called, call, called, mention, name, to name",
L_call_attention,call_attention,"ask, beckon, call, request, summon",
L_call_tty,call_tty,"call, call-tty, phone, TDD, telephone, to call on a TTY, TTY",
L_calm,calm,"calm, quiet, silence, silent, to be still",
L_camcorder,camcorder,"camera, film, record, videocamera, video camera, videorecorder, video recorder",
L_camel,camel,"animal, camel, hump",
L_camera,camera,"camera, photo, photograph, photography, picture, snapshot",
L_cameraman,cameraman,cameraman,
L_camping,camping,"cabin, camp, camping, tent",
L_can,can,"able to, can, possibility, possible, have the ability, power, or skill to, to be permitted to",ref_handspeak
L_can_2,can,"can, to can food",ref_signingsavvy
L_canada,canada,"Canada, Canadian, country",
L_cancellation,cancellation,"cancel, cancellation, correct, critical, criticize, critique, grade",
L_cancer_1,cancer,cancer,"fingerspelled version, more common"
L_cancer_2,cancer,cancer,
L_candle,candle,"candle, candlelight, flame, light",
L_candy_1,candy,"candy, sweets, sugar",
L_candy_2,candy,"candy, sweets, sugar",
L_cannon,cannon,cannon,
L_cannot,cannot,"can't, cannot, can not, impossible, unable",
L_canoe,canoe,"boat, canoe, canoeing, kayak, kayaking, row, rowing",
L_cape,cape,cape,
L_caption,caption,"caption, captioned, captioning, captions, closed captioning, closed captions, open captioning, open captions, sentence, subtitles",
L_capture,capture,"attack, capture, catch, detect, get, notice",
L_car,car,"automobile, car, drive, steer, vehicle",
L_car_accident,car_accident,"accident, collide, crash, hit, oops, vehicle, wreck",
L_car_battery,car_battery,car_battery,
L_cards,cards,"cards, deal cards, deck of cards, game, play cards, poker",
L_careful,careful,"babysit, be careful, be safe, caretaker, careful, nanny, supervise, take care",
L_carousel,carousel,carousel,
L_carrot,carrot,carrot,first two are more common
L_carrot_2,carrot,"carrot, food, vegetable",
L_carrot_3,carrot,carrot,
L_carry,carry,"bear the load, bring, carry, convey, deliver, delivery, tote",
L_carve,carve,carve,
L_castle,castle,"castle, palace",more common
L_castle_2,castle,castle,
L_castle_3,castle,castle,
L_castle_4,castle,castle,
L_casual,casual,"calm down, chill, gesture, keep calm, relax",
L_cat,cat,"animal, cat, feline, kitten, kitty, whiskers",more common
L_cat_2,cat,"animal, cat, feline, kitten, kitty, whiskers",
L_cat_3,cat,"animal, cat, feline, kitten, kitty, whiskers",
L_catapult,catapult,catapult,
L_catch_1,catch,catch,
L_catch_2,catch,"catch, grab, hold, throw",
L_catch_3,catch,"catch, grab, hold, throw",
L_catch_baseball,catch_baseball,"baseball, catch, catcher, to catch something, to play catch",
L_category,category,"category, class, group",
L_catepillar,catepillar,"bug, caterpillar, insect, worm, CATERPILLARb",
L_catholic,catholic,"catholic, church, religion, Roman Catholic",
L_caught,caught,"busted, capture, catch, caught, grab, nab, seize",
L_cause,cause,"cause, influence",
L_ceiling,ceiling,"ceiling, overhead",
L_celebrate,celebrate,"anniversary, celebrate, celebration, ceremony, festival, rejoice, victory, win, winner",
L_celery,celery,celery,
L_cellphone,cellphone,cellphone,
L_cemetery,cemetery,"bury, cemetery, grave",
L_center,center,"center, central, in the middle, middle",
L_cereal,cereal,"breakfast, cereal, eat, food",
L_certificate,certificate,"certificate, certification, certified, credential, gift certificate, qualification, qualified",
L_chain,chain,"chain, chained, chaining, connect, connection, pretzel",
L_chair,chair,"chair, seat, sit, sit down",
L_challenge,challenge,"challenge, challenging, competition, difficult, game, hard",
L_champ,champ,"champion, champ, winner, set record, grand prize, championship",
L_champion,champion,"champion, champ, winner, set record, grand prize, championship",
L_chance,chance,"chance, happenstance, luck, opportunity",
L_change,change,"adapt, adjust, adjustment, change, fix, fixing, modify, replace, transform",
L_channel,channel,"change the channel, channel, knob, turn, TV",
L_chaos,chaos,"chaos, chaotic, disrupt, hectic, mess, messed up, mess up, messy, thrown off",
L_character,character,"character, characteristic",
L_charge,charge,"charge, cost, fine, price, tax",
L_charge_card,charge_card,"charge card, credit card, debit card, money",
L_chase,chase,"chase, follow, go after, pursue",
L_chat,chat,"chat, conversation, converse, socialize, talk, to converse with, to talk with",
L_cheap,cheap,"cheap, discount, on sale, sale",
L_cheat_1,cheat,"cheat, lie",more common
L_cheat_2,cheat,"cheat, deceive, hoodwink, lie, swindle",ref_signbank
L_check,check,"check, inspect, to check on, to make sure, verify",
L_cheek,cheek,cheek,
L_cheer,cheer,"anniversary, celebrate, celebration, ceremony, festival, rejoice, victory, win, winner",
L_cheerleader_1,cheerleader,"cheerlead, cheerleader, cheerleading",more common
L_cheerleader_2,cheerleader,cheerleader,
L_cheese,cheese,"cheese, dairy, food",
L_cheese_grater,cheese_grater,cheese_grater,
L_cherish,cherish,"care about, cherish, precious, preserve, save, to hold on to, to take care of, to treasure, to value",
L_cherry,cherry,"berry, cherry, fruit",
L_cherry_2,cherry,"berry, cherry, food, fruit",
L_chew_1,chew,chew,
L_chew_2,chew,"chew, eating, masticate",
L_chew_2_mouth,chew_2_mouth,"chew, eating, masticate",
L_chew_3,chew,chew,
L_chew_4,chew,chew,
L_chicago,chicago,Chicago,
L_child,child,"child, childhood, kid, short, young, youngling",
L_children,children,"childhood, children, kid, young, youngling, youth",
L_chimney,chimney,chimney,
L_chin_2,chin,chin,
L_china,china,"China, Chinese, country",
L_chocolate,chocolate,"chocolate, dessert, sweets",
L_choke,choke,choke,
L_chop,chop,"chop, chopping, cut, food, knife",
L_chopsticks,chopsticks,"cut, scissors",
L_christmas_1,christmas,"celebration, Christmas, holiday",more common
L_christmas_3,christmas,"celebration, Christmas, holiday",
L_church,church,"church, religion, worship",
L_churn,churn,churn,
L_cigar,cigar,"cigar, stogie",
L_cigarette,cigarette,"cigarette, smoking",
L_circle,circle,"circle, oval, round, shape",
L_circuswheel,circuswheel,circuswheel,
L_city,city,"building, city, community, house, town",
L_city_2,city,"city, community, neighborhood, town",
L_clap,clap,"action, all right, applause, celebration, claps, clapping, get attention, hey, yay",
L_clash,clash,clash,
L_class,class,"category, class, group",
L_clause,clause,clause,
L_claw,claw,claw,
L_clean,clean,"clean, to clean up",
L_clear,clear,"bright, clarify, clear, light, obvious, obviously",
L_cleftchin,cleftchin,cleftchin,
L_click,click,click,
L_client,client,"citizen, client, customer",
L_climb_ladder,climb_ladder,"ascend, climb, clamber up, ladder, mount, scale, scramble up",
L_clip,clip,"clip, cut, scissors, snip, trim",
L_clock,clock,"clock, telling time, time",
L_clock_2,clock,clock,
L_close ,close ,"close, closed, shut",
L_close_door,close_door,"close, close-door, door, shut, to close a door, close door",
L_close_eyes,close_eyes,"blink, close eyes, close-eyes, shut your eyes",
L_closet_1,closet,"armoire, cabinet, closet, closet-rack, cupboard, wardrobe",more common
L_closet_2,closet,closet,not found
L_clothes,clothes,"attire, clothes, clothing, costume, dress, garb, garment, getup, outfit, to wear",
L_cloud_1,cloud,cloud,
L_cloud_2,cloud,cloud,
L_cloud_3,cloud,cloud,
L_cloud_4,cloud,"cloud, cloudy, stormy",
L_clown,clown,"carnival, circus, cirque, clown",
L_clueless,clueless,clueless,
L_coach,coach,coach,
L_cocacola,cocacola,"coca cola, coke, drug, drugs, pop, soda",
L_cocaine,cocaine,cocaine,
L_coconut,coconut,"coconut, food, fruit",
L_coffee,coffee,"coffee, drink",
L_coins,coins,"cent, cents, change, coin, coins, currency, money",
L_cold,cold,"chill, chilly, cold, freezing, weather, winter",
L_college,college,"college, higher education, undergraduate, university",
L_color,color,"color, colorful",
L_comb,comb,"brush, comb, combing, hair, to comb hair",
L_comb_2,comb,"brush, brush-hair, comb, hairbrush, to brush, to brush hair",
L_come,come,come,
L_come_here,come_here,"beckon, come here, gesture",
L_come_out,come_out,"out, out of",
L_comfortable,comfortable,"comfort, comfortable",
L_comment,comment,"comment, commentary, mention, message, remark, saying, statement, utter, utterance",
L_committee,committee,"committee, congress, council",
L_communication,communication,"communicate, communication, conversate, conversation, converse, talk",
L_community,community,"city, community, neighborhood, town",
L_commute,commute,"commute, commuting, go back and forth, transit, travel",
L_compass,compass,"compass, direction",
L_complain,complain,"complain, complaint, object, protest, whine",
L_complex,complex,"complex, complexity, complicated, difficult",
L_computer,computer,"computer, desktop, laptop",
L_computer_mouse,computer_mouse,"computer, computer mouse, desktop, mouse",
L_concept,concept,"concept, conceptual, idea",
L_concerned,concerned,"concern, concerned, worried",
L_conduct_1,conduct,"lead, as in the performance of a composition, one leads an orchestra","ref_signasl, ref_handspeak, all three conduct does not mean conduct as behavior, act"
L_conduct_2,conduct,conduct,
L_conduct_3,conduct,conduct,
L_confident,confident,"brave, confidence, confident, trust",
L_confidential,confidential,"confidential, hidden, keep quiet, password, personal, private, secret",
L_conflict,conflict,"conflict, contradict, contradiction, counteract, cross, hybrid, intersect, intersection",
L_confused_1,confused,"confused, don't understand, CONFUSEDnoix",
L_confused_2,confused,"confused, CONFUSEDix",
L_congratulations,congratulations,"congratulate, congratulations, praise, well done",
L_connection,connection,"associate, attach, belong, connect, connection, link, related, relate to",
L_consume,consume,"consume, eat, eat up, effort, grab, take over, take up, time",
L_contact,contact,"connect, connection, contact, get in touch with, network",
L_contact_lens,contact_lens,contact_lens,
L_continue,continue,"continue, drag on, keep going, persevere, permanent, persist, persistent",
L_convince,convince,"convince, persuade",
L_convince_2,convince,"convince, persuade",
L_cook,cook,"cook, food, kitchen, pancake",
L_cookie,cookie,"cookie, dessert, snack",
L_cool_1,cool,"cool, fashionably attractive or impressive",ref_handspeak
L_cool_3,cool,"awesome, cool, excellent, great, neat",
L_cool_4,cool,"awesome, cool, neat",
L_cool_5,cool,"breeze, breezy, brisk, cool, cool weather, mild temperature, wind, windy",
L_cooperate,cooperate,"associate, connect, cooperate, cooperation, coordinate, link, related, relation, relationship, to get along with",
L_copy,copy,"copy, duplicate, emulate, imitate, replica, replicate",
L_corkscrew,corkscrew,"corkscrew, open, uncork, wine",
L_corkscrew_2,corkscrew,corkscrew,
L_corn_1,corn,"corn, corn on the cob, ear of corn, food, vegetable",
L_corn_2,corn,"corn, corn on the cob, ear of corn, food, vegetable",
L_corn_3,corn,corn,less common
L_corner,corner,"angle, at an angle, corner",
L_correct,correct,"cancel, correct, critical, criticize, critique, discriminate, discrimination, grade",
L_cost,cost,"charge, cost, fine, price, tax",
L_couch_1,couch,couch,
L_cough,cough,"cold, cough, feeling sick, ill, illness, sick",
L_counselor,counselor,"adviser, advisor, counselor",
L_count,count,"account, count, keep score, score",
L_country,country,"county, country",
L_cousin,cousin,"cousin, family, relative",
L_cover_up,cover_up,"blur, blurry, cover up, lie, obscure, obfuscate",
L_cow,cow,"animal, bovine, cattle, cow",
L_cowboy,cowboy,cowboy,
L_crack,crack,"break, crack, fracture, split",
